developer,total_games,avg_price_usd,avg_positive_review_percentage,total_reviews
Black Banshee Studios,16,1.37,77.89,110
HUNTERS,16,1.79,77.41,66
GSC Game World,16,9.71,73.1,243657
CUTE ANIME GIRLS,16,0.82,72.83,7686
Ivanovich Games,16,6.59,72.66,1439
Petr Šimůnek,16,0.37,69.39,1332
Sinned Games,16,1.06,67.19,2866
Cow Games,16,0.71,64.95,336
MoonlightGames,16,3.56,62.2,179
James H. Van der Meulen,16,6.43,57.78,13
Momentum Games,16,2.9,55.56,9
XiNFiNiTY Games,16,1.3,55.11,500
SimProse Studios,16,0.96,52.46,1064
Games For Pleasure,16,7.12,51.2,240
2024-NGame,16,3.24,48.26,61
Lust Zone Studio,16,3.81,,0
Wolfs Moon Studios,15,3.88,94.82,392
PUNKCAKE Delicieux,15,4.06,92.58,6753
cnsgames,15,0.52,89.76,40
TALESSHOP Co.,15,11.82,89.23,8639
Sports Interactive,15,5.93,89.08,136011
Rising Moon Games,15,0.6,88.91,1204
Nightdive Studios,15,10.69,88.62,29069
Rocky Studio,15,0.97,88.14,84
Pilgrim Adventures,15,0.56,87.82,7415
Telltale,15,4.93,87.5,66773
Alawar,15,5.22,87.14,22645
Mega Cat Studios,15,5.7,84.69,13333
Telltale Games,15,1.53,83.8,209053
ZaxtorGameS,15,4.87,82.06,191
Phr00t's Software,15,2.5,81.93,2215
Beam Software,15,2.89,81.13,494
Mikołaj Spychał,15,1.05,80.37,567
Tin Man Games,15,1.48,80.1,2230
Frontier Developments,15,10.99,79.95,374665
IDEA FACTORY,15,11.37,79.0,20848
Lazy Turtle Games,15,5.09,78.39,303
Vantan Game Academy,15,0.0,77.41,132
Infinity Ward,15,18.67,76.97,312345
Afil Games,15,2.46,75.94,364
KoheiGallery,15,8.42,75.12,69
Tuomo Laine,15,1.94,74.76,513
Team17 Digital Ltd,15,2.7,72.72,39281
Stardock Entertainment,15,5.98,70.7,26767
Dieselmine,15,9.71,69.94,1719
9Ratones,15,2.37,69.44,34
HFM Games,15,0.89,69.1,63106
Sapphire Dragon Productions,15,2.9,68.39,1449
3DClouds,15,9.66,68.01,2343
PhoenixFire Games,15,0.49,66.52,280
Infogrames,15,2.26,64.73,1917
b-alive gmbh,15,3.53,64.37,1704
XDEVS LTD,15,0.0,63.47,5879
Microids,15,1.67,62.92,18001
Alcachofa Soft,15,2.09,61.47,132
Alternative Software Ltd,15,9.74,60.4,730
EA Canada,15,26.13,60.18,392072
A Nostru,15,0.54,58.88,1309
Zombie Developer,15,1.26,51.09,85
Webfoot,15,5.6,45.27,173
azimuth team,15,0.69,42.53,1305
MCGame,15,2.36,34.86,280
Queen's Court,15,1.31,,0
Uzura Studio,15,3.74,,0
LN,14,0.92,100.0,2
07th Expansion,14,8.02,95.68,15876
ChaniMK,14,2.17,95.56,241
Brøderbund,14,4.67,91.88,33
Croteam,14,4.59,91.82,123958
IP Izmailov Vladimir Yurievich,14,5.44,91.42,162
Alright Peaches Studio,14,1.06,90.91,11
727 Not Hound,14,4.23,90.5,504
Game Mixer,14,2.18,89.7,179
Traveller's Tales,14,4.85,89.11,140034
Chequered Ink Ltd.,14,0.78,86.58,355
MyDreamForever,14,1.76,86.58,971
Mindware,14,4.62,84.67,255
Big Fish Games,14,3.81,84.62,1006
Schell Games,14,5.89,83.88,12602
eSolutions,14,5.13,82.36,81
Dinosaur workshop,14,3.99,82.1,40
RedDeer.Games,14,10.92,81.97,234
Revmatek,14,1.22,81.46,2869
Bethesda Game Studios,14,12.22,81.34,1630031
Jordan Freeman Group,14,5.15,80.84,95
EntwicklerX,14,2.39,80.72,205
Korion Interactive,14,5.19,79.47,320
Eastasiasoft Limited,14,2.64,78.31,79
Gremlin Interactive,14,5.08,76.42,1976
Kevin Wacknov,14,0.0,75.58,48
Zloy Krot Studio,14,0.5,75.4,1564
Fulqrum Publishing,14,0.99,74.1,11988
Blaze Epic,14,0.56,71.47,613
Whale Rock Games,14,3.2,71.23,4342
DIGIDICED,14,4.13,70.46,1775
Elephant AR,14,7.7,66.51,25
Eko Software,14,9.45,64.34,38175
Playstige Interactive,14,1.56,62.06,925
okyakusama,14,1.6,61.11,865
VS Resolution,14,0.64,58.71,535
Aztech,14,199.99,56.85,301
Mihai Morosanu,14,0.58,56.45,3503
Eversim,14,24.51,51.13,7242
indiegames3000,14,0.75,48.34,230
Sabrina Aridi,14,0.95,45.28,1009
Fantasy Games,14,4.95,,0
HFTGames,14,8.79,,0
Lust Desires 🖤,14,3.88,,0
Play and Cum 💦,14,4.43,,0
R. Benny,14,6.99,,0
SinVR,14,10.06,,0
TRYSET Break,14,29.63,,0
Kodansha,13,10.63,94.67,523
Anime Mania,13,1.29,92.59,27
Dynamic Games,13,0.61,91.87,799
AviGames,13,2.57,89.2,95
Strategic Simulations,13,3.36,89.01,371
Nibb Games,13,1.24,88.55,525
유진게임즈,13,2.99,87.38,324
16air,13,1.24,86.22,86
