developer,total_games,avg_price_usd,avg_positive_review_percentage,total_reviews
Smudged Cat Games Ltd,3,4.99,82.9,1476
RoninGameDev,3,1.99,82.89,24
Clockwork Wolf,3,2.49,82.88,1049
Dreamirl,3,4.16,82.88,455
Molter,3,3.57,82.88,540
Foolish Mortals Games,3,2.66,82.86,790
EP Games®,3,6.16,82.85,308
半星BanXing,3,1.99,82.85,32
Thing Trunk,3,6.24,82.84,15797
Vanguard Games,3,1.93,82.83,5401
Shotgun Anaconda,3,4.36,82.81,68
Triple.B.Titles,3,4.32,82.77,4958
Teatime Research Ltd.,3,0.0,82.76,221
Madowl Games,3,2.82,82.75,47
Phoenix Online Studios,3,4.16,82.75,2214
Petushock Production,3,1.57,82.72,184
Sinking Sheep,3,1.39,82.72,111
Galen Games,3,1.66,82.7,81
Not-So Classic Games,3,0.66,82.7,64
Flying Oak Games,3,1.84,82.67,3819
Nooner Bear Studio LLC,3,1.49,82.67,162
Binary Impact,3,6.04,82.64,190
Basilisk Games,3,5.33,82.61,606
Cliax Games,3,2.32,82.61,239
Missing Calm,3,0.64,82.61,1621
Turtle Cream,3,4.84,82.6,781
Cyclone Studios,3,2.09,82.58,219
HNStudios,3,1.58,82.56,228
Solar Eclipse Games,3,2.58,82.55,385
Chucklefish,3,8.16,82.51,170419
DorsalFin Studio,3,7.36,82.48,129
brusnik.com,3,6.22,82.48,45
Max Ritters,3,0.94,82.47,50
Laminar Research,3,15.29,82.46,24221
Roberto Trasarti,3,1.99,82.46,74
Owlcat Games,3,9.66,82.43,102722
SBN3,3,4.57,82.43,14023
Hybriona Technologies LLP,3,2.46,82.42,139
Lost Frame Development,3,4.66,82.42,86
Andrade Games,3,8.32,82.41,282
Milpitians,3,3.33,82.4,458
Anatoly Konstantinov,3,1.53,82.38,194
Tremmi Publishing,3,1.99,82.36,59
CBE software,3,4.99,82.35,1134
Raptisoft,3,3.87,82.35,17
Gestalt Development Studio,3,0.82,82.34,389
FlyAnvil,3,3.83,82.33,2344
Sloclap,3,13.02,82.33,35665
17-BIT,3,5.49,82.32,1409
BoringKate,3,0.99,82.32,86
KAMITSUBAKI STUDIO,3,17.99,82.32,1554
Retrowave Studios,3,3.41,82.31,18
Iron Tower Studio,3,9.72,82.3,7633
Lightbulb Crew,3,4.33,82.3,4819
ROSEVERTE MYSTERY,3,7.24,82.27,230
DjokaGames,3,1.07,82.26,50
Nina Freeman,3,1.66,82.25,2791
Null Reference Games,3,5.0,82.25,112
Alex Olinkiewicz,3,0.33,82.23,527
BetaDwarf,3,2.33,82.23,68353
Bonus Level Entertainment,3,6.16,82.22,261
Kubikfoto GmbH,3,0.0,82.22,32
Respawn Entertainment,3,9.49,82.22,417272
Aubega,3,0.59,82.21,44
Steel Mantis,3,3.77,82.2,5224
1917 Studios,3,3.66,82.19,1132
Lunarch Studios,3,8.99,82.19,4315
Laughing Jackal LTD,3,1.17,82.15,614
Barlock Games,3,0.33,82.14,26
ogsoftgames,3,3.59,82.14,14
Nepix,3,2.99,82.13,119
kantal collective,3,1.36,82.12,218
Aetheric Games,3,1.91,82.11,458
Four White Cats,3,6.39,82.11,408
Fubenalvo,3,1.16,82.11,327
Massive Entertainment,3,1.96,82.08,93669
Gamepires,3,7.49,82.07,116258
Mipmap Digital,3,7.94,82.06,155
SJR Team,3,7.62,82.05,32
WhitePeach,3,5.32,82.05,967
Charlie Behan,3,1.66,82.03,1037
Massive Miniteam,3,8.59,82.02,1718
Shawn Hitchcock,3,1.77,82.01,44393
Daniel George,3,5.32,82.0,66
Chaos Minds,3,8.32,81.97,211
图纳密游戏,3,1.22,81.96,227
souvenir circ.,3,6.16,81.93,648
Solecismic Software,3,21.66,81.91,569
Child-Dream,3,2.72,81.89,98
Element Games,3,7.07,81.89,619
Little Horror Studios,3,3.51,81.86,225
Eragone,3,2.61,81.82,33
Failbetter Games,3,8.14,81.82,12974
Gernot Frisch,3,22.66,81.82,29
Homeworks Studios,3,2.33,81.82,12
M2H,3,2.32,81.82,2517
The VALIDATE Network,3,0.0,81.82,11
corrox,3,0.8,81.82,11
OneManOnly Studios,3,14.46,81.75,85
Paintbucket Games,3,7.79,81.73,3704
JAYFLGAMES,3,6.99,81.72,874
Runner Duck,3,5.83,81.71,18491
Syun-kan Flowlighter,3,11.66,81.69,199
Feodosiy,3,1.32,81.68,275
Potion Junkies,3,6.32,81.68,164
Rocket Monster Games,3,1.32,81.67,43
Holyday Studios,3,0.0,81.66,9632
Phodex Games,3,9.49,81.66,331
FossettGaming,3,1.74,81.63,218
Tayfun Tuna,3,1.09,81.62,203
Bugbear,3,12.99,81.61,41475
mibix,3,1.99,81.61,113
MCGames,3,0.0,81.59,88
Grounding Inc.,3,16.24,81.58,2222
株式会社Metaware,3,5.99,81.56,59
人型ですカオス,3,4.66,81.55,466
CASCHA GAMES,3,4.66,81.53,440
Appnormals Team,3,3.42,81.49,686
Marvelous Games,3,2.66,81.49,606
HuCang Studio,3,8.92,81.48,357
Mire Studios,3,2.07,81.48,24
Return To Adventure Mountain,3,2.66,81.48,703
MasterCode,3,6.06,81.46,5518
Studio Namaapa,3,2.07,81.46,224
OnionMilk,3,2.86,81.42,79
Erik Svedäng,3,2.39,81.41,973
Endlessfluff Games,3,10.32,81.39,4381
Twisted Pixel Games,3,1.99,81.39,1024
Midhard Games,3,3.89,81.36,2259
Potatobrain Games,3,8.66,81.33,82
Fireglow,3,2.39,81.32,970
Gordon Little,3,3.46,81.32,272
LavaMind,3,7.49,81.32,306
9Garden,3,1.16,81.31,867
Bluish-Green Productions,3,2.62,81.31,37
WONG KWAN CHI,3,1.33,81.28,28
OMEGABYTE,3,0.98,81.25,10
Pedro Henrique Baretta,3,1.27,81.25,11
Spirit,3,3.29,81.25,17
上海烛龙信息科技有限公司,3,9.66,81.25,56056
Antti Vaihia,3,2.19,81.23,205
Studio Oleomingus,3,0.0,81.23,453
Chaos Entertainment,3,8.06,81.21,160
Keybol,3,2.99,81.19,529
SOFTSTAR TECHNOLOGY(SHANGHAI),3,6.27,81.18,2534
Trickster Arts,3,9.99,81.17,695
Hejled Studio,3,1.66,81.16,55
oophok,3,8.32,81.16,100
Delta Arcade,3,1.66,81.15,86
Pandaroo Interactive,3,5.66,81.15,142
7Levels,3,9.14,81.14,367
Bulwark Studios,3,5.61,81.14,29859
Protoria Studios,3,3.51,81.14,134
Anarchy Games,3,1.66,81.12,838
Konfa Games,3,2.87,81.12,8336
yeswecamp,3,2.91,81.12,4894
SpaceOwl Games,3,13.82,81.11,1441
Unseen Interactive,3,1.74,81.09,291
Aquila Games,3,0.69,81.03,44
codegamerstudio,3,0.49,81.02,38
Dreamlight Games,3,2.32,80.99,28
Hero Concept,3,1.91,80.89,889
MakhamDev,3,4.99,80.86,192
Ilan Papini,3,36.66,80.85,365
OfficialAndy,3,0.49,80.84,4804
Volfson Studios,3,2.99,80.79,20
Freakinware Studios,3,0.0,80.78,16455
Object Software,3,1.99,80.78,290
PurpleSloth,3,3.82,80.78,171
DuGringo,3,0.87,80.77,26
IPACS,3,58.19,80.77,3026
Muzzy Lane Software,3,6.66,80.72,1012
Cyber Rhino Studios,3,1.82,80.7,345
Nussygame,3,0.0,80.69,932
AppleCoffee,3,6.66,80.68,313
U-Secret Studio,3,7.09,80.68,5553
Glowstick Entertainment,3,4.53,80.67,24510
1C: Maddox Games,3,1.33,80.61,5560
BluSped Studio,3,3.15,80.58,77
Digital Kingdom,3,1.66,80.58,125
Hardy Games,3,0.82,80.58,91
Cogent Education,3,5.32,80.56,15
Ash Jackson,3,3.96,80.53,29
Timeslip Softworks,3,6.52,80.53,361
Angry Mob Games,3,2.79,80.48,1976
yeo,3,6.56,80.47,4121
Game Star,3,3.47,80.45,1553
Libragames,3,6.52,80.45,85
bluffman,3,8.99,80.43,268
Devespresso Games,3,1.33,80.42,1429
Infinity Plus 2,3,4.0,80.4,8790
Ryan Saunders,3,2.99,80.4,292
VRIDGE INC.,3,7.49,80.4,53
Trippin Bears,3,6.46,80.39,204
孤单工作室,3,1.19,80.36,33
bHaptics Inc.,3,1.66,80.31,44
Todist,3,1.74,80.3,20
Totally Games,3,4.99,80.26,1360
NITRO PLUS,3,16.99,80.24,1332
Peepod Inc.,3,3.49,80.21,44
Webcore Games,3,3.33,80.21,257
VDVO CO,3,0.58,80.2,149
Digital Dreams Entertainment,3,19.99,80.16,1120
Alliance Arts,3,16.49,80.15,1975
4 Fun Studio,3,6.32,80.14,123
David Lewis,3,1.06,80.14,77
Shadow Factory,3,2.66,80.12,51
Digixart,3,3.32,80.1,23125
Poly Poly Games,3,2.27,80.1,103
Afternoon Games,3,2.24,80.0,8
Fuyu Games AB,3,0.82,80.0,6
Horsefly Games,3,3.77,80.0,26
Keycap Games LLC,3,4.82,80.0,104
Lizard Hazard Games,3,10.99,80.0,246
Lunar Penguin Media LLC,3,1.66,80.0,6
Pasha Bin,3,0.99,80.0,6
Suncats,3,0.0,80.0,20
Timon Softa,3,0.59,80.0,10
Double Eleven,3,9.32,79.97,1912
HypeTrain Digital,3,6.83,79.96,14657
Departure Interactive,3,8.49,79.95,1285
Kibou Entertainment,3,5.66,79.9,51
Kabuk Games,3,0.46,79.89,150
Piranha Games Inc.,3,9.99,79.88,29543
RedPunch Studios,3,1.05,79.86,64
The Secret Games Company,3,3.49,79.85,1676
Jupiter Lighthouse Games,3,6.02,79.84,73
The Bearded Ladies,3,8.74,79.83,22275
Ultaan Games,3,3.89,79.83,149
Ghost Games,3,3.86,79.81,185512
LuftWaffel,3,0.92,79.81,167
WildArts Games,3,7.36,79.81,517
Orbital Knight,3,4.66,79.8,159
SoloQ,3,2.09,79.76,420
Strength in Numbers Studios,3,5.99,79.72,109
Noble Master LLC,3,0.0,79.66,3586
3f Interactive,3,2.82,79.65,1843
Garage Heathen,3,2.71,79.63,3795
Offworld,3,12.62,79.63,266237
Silver Machine Studios,3,1.04,79.63,312
SLAM AWAY GAMES,3,4.59,79.62,212
Wooden Monkeys,3,2.99,79.62,1565
疯王子,3,2.05,79.61,1188
Dim Bulb Games,3,2.99,79.6,1710
Musclebird,3,6.66,79.59,77
Titan Art Games,3,3.64,79.55,44
Clickteam,3,16.99,79.53,2212
Rodrigo Banzato,3,1.39,79.51,130
de Fault,3,1.0,79.51,808
Demagog Studio,3,5.74,79.47,1974
Yunkai,3,0.0,79.46,36
Grey Havens,3,0.0,79.43,26285
SD,3,1.24,79.42,802
Glasscannon Studio,3,1.46,79.37,308
Synersteel Studio,3,4.82,79.37,31
Shenzhen Zhonglian Interactive Technology Co.,3,4.92,79.34,155
Cabbit,3,10.86,79.32,1000
Urban Games,3,4.82,79.32,41851
Altar Games,3,1.46,79.31,2835
Dex Games Studio,3,2.06,79.29,72
Archiact,3,4.32,79.27,428
BeardedBrothers.games,3,5.83,79.27,999
Assult,3,1.01,79.23,76
Sam Barlow,3,6.66,79.23,12641
Frosty Pop,3,5.66,79.22,106
Interactive Fate,3,6.12,79.19,1592
COSDOTS,3,4.11,79.17,54
Ladia Group,3,2.09,79.17,75
Pixel Lion Studios,3,0.66,79.17,11
CJ,3,1.49,79.16,16
Voge_Games,3,0.0,79.16,14
O. Kaya,3,1.33,79.14,178
Liz-Arts,3,4.57,79.12,418
Puny Human,3,0.33,79.11,5985
Five Mind Creations,3,6.69,79.09,687
Lavaboots Studios,3,5.82,79.09,3955
Sierra On-Line,3,3.59,79.08,575
Mark Schramm,3,9.99,79.07,77
IObit,3,0.0,79.05,10658
Sander Bos,3,2.24,79.02,139
BovinoSoftware,3,3.99,79.01,139
Gameloop,3,4.12,79.0,125
Iriya72,3,0.99,78.99,180
Toydium,3,16.16,78.95,192
Empyrean,3,6.82,78.93,95423
Ricardo Alonso Pina,3,0.25,78.93,72
Wizard Games Inc,3,8.66,78.91,163
daimaGAME,3,5.16,78.89,58
eiloware,3,1.05,78.89,27
易远游戏,3,1.19,78.88,131
Cykyria,3,0.93,78.84,66
Termeno,3,0.99,78.84,60
Cuddle Monster Games,3,4.57,78.83,504
Fibrum Limited,3,5.66,78.83,564
FarkasInteractive,3,6.32,78.8,235
KameGames,3,2.32,78.79,14
Drageus Games S.A.,3,0.71,78.75,35
I'm moralist,3,11.14,78.7,280
Metthink,3,3.33,78.69,87
Hoochoo Game Studios,3,7.8,78.64,1510
BUSAN SANAI GAMES,3,0.5,78.63,184
Cornfox & Brothers Ltd.,3,8.24,78.63,2271
Anton Shatalov,3,1.99,78.61,32
Void Dimensions,3,11.66,78.58,77
Babooshka Bytes,3,1.99,78.57,9
Michigames,3,7.82,78.57,8
Shawn Perolis,3,2.16,78.57,78
mobaroid,3,1.33,78.57,14
Sysreb Games,3,2.39,78.55,91
ZGame Studio,3,1.02,78.55,48
Ascaron Entertainment ltd.,3,1.82,78.52,2138
Brandtner,3,0.89,78.52,20
DOG HOGGLER,3,8.26,78.52,3874
Extend Studio,3,9.99,78.51,1213
Playtonic Games,3,17.66,78.5,6526
Milky Tea Studios,3,4.76,78.49,1161
Outerlight Ltd.,3,1.16,78.48,7953
bati,3,4.42,78.46,249
Half Human Games,3,6.34,78.43,574
Volha,3,0.99,78.42,393
Morion Studio,3,1.66,78.41,457
zzeerr,3,2.51,78.41,34
2Awesome Studio,3,5.59,78.4,1073
Killed Pixel Games,3,0.75,78.4,90
Silverware Games,3,3.66,78.38,223
aburasobabiyori,3,2.16,78.38,474
Side Group,3,0.52,78.36,79
Zhongce Games,3,4.32,78.35,1005
1Monkey2Brains,3,2.99,78.33,28
Irrational Games,3,3.32,78.29,141493
Convoy Games,3,1.91,78.27,1674
Kabam Games,3,0.0,78.27,16928
DP CORPORATION,3,5.99,78.21,16
iRacing.com Motorsport Simulations,3,19.82,78.17,5410
A.Y.std,3,1.59,78.15,6358
Alkemi,3,3.82,78.14,1847
Gaugepunk Games,3,7.41,78.09,2271
Tiny Bull Studios,3,7.82,78.09,739
追风的鱼,3,2.66,78.08,165
Weappy Studio,3,3.32,78.07,18481
Nawia Games,3,2.56,78.04,1472
Panic Ensues Software,3,6.59,78.04,404
Rumata Lab,3,4.39,78.03,157
Stopshut,3,3.32,78.0,31
Greenolor Studio,3,0.93,77.98,248
LIV Inc,3,0.0,77.97,941
Awem Studio,3,9.99,77.96,83
Ion Storm,3,3.51,77.93,19292
Hack The Publisher,3,7.49,77.91,368
eMedia Music,3,28.16,77.91,46
U-ROOM,3,12.59,77.89,886
KAIKO,3,6.66,77.85,23409
Marius Popa,3,4.99,77.85,50
FMV Interactive,3,8.46,77.83,30
LizardFactory,3,1.59,77.83,581
Straight Back Games,3,2.99,77.81,85182
Gluten Free Games,3,2.83,77.8,491
Interactive Stone,3,1.32,77.79,1640
3D Visualisation Aesthetics Lab,3,0.0,77.78,18
CataStoica,3,1.32,77.78,20
EllGames,3,2.99,77.78,6
PULSMO,3,3.13,77.78,33
Szekretar,3,8.32,77.78,9
Titanzzz,3,0.66,77.78,9
zhangzhaogong,3,1.33,77.78,18
梦影幻忆,3,0.0,77.78,18
KX Games,3,12.32,77.75,537
SmiteWorks USA,3,0.66,77.75,2142
Igniting Spark Games,3,6.99,77.74,269
Whim Independent Studios,3,3.66,77.73,41
Airborne Games,3,4.99,77.68,354
Reply Game Studios,3,2.49,77.67,3107
Platuro,3,1.99,77.63,102
Verto Studio LLC,3,7.99,77.61,29
Standing Stone Games,3,0.0,77.6,37049
EnigmaDev Studios,3,0.53,77.59,166
Flazm,3,7.38,77.56,724
不重要,3,1.49,77.55,49
Game On Production,3,2.09,77.52,73
Vivid Games S.A.,3,6.66,77.5,1420
Jaemoon Choi,3,2.66,77.48,49
Yuna Studio,3,0.56,77.45,338
Electric Monkeys,3,3.57,77.42,267
Snow Day Software,3,2.24,77.4,81
Breaking Dimensions,3,3.71,77.38,495
PixelMouse,3,0.49,77.35,2285
Lienzo,3,2.79,77.24,297
Crashable Studios,3,4.66,77.15,198
Milan Toth,3,0.0,77.15,74
Signal Studios,3,8.29,77.15,2822
1C Wireless,3,0.99,77.13,497
Proxy Studios,3,12.82,77.1,16863
ALLAF GAMES,3,2.36,77.06,813
Game Swing,3,3.82,77.04,478
UKZ Arts,3,0.66,77.03,109
Soaring Games,3,3.33,77.0,55
Symphonic Games,3,6.66,77.0,157
Clock Wizard Games,3,6.32,76.92,22456
MOBSoft Funstuff Inc.,3,6.66,76.92,13
AAAGAMES,3,6.66,76.9,231
Alzan Studios,3,6.66,76.79,735
zelun_,3,1.33,76.79,70
Luminous,3,4.0,76.77,5790
2K Marin,3,3.32,76.76,52827
G5 Software,3,0.82,76.76,451
Pirate-Rob,3,6.59,76.74,743
Uncle Frost Team,3,1.97,76.74,200
Tall Guy Productions,3,3.33,76.73,101
No Future,3,8.66,76.72,179
Fancy Factory,3,8.33,76.7,41
Admia,3,1.66,76.68,270
Infinite Level,3,1.53,76.67,24
NecoPlanet,3,3.47,76.67,18
Scarlet Whale,3,4.99,76.67,23
Vimes Entertainment,3,0.99,76.67,110
ZOJIN,3,0.0,76.63,43
Foamy,3,1.0,76.55,53
Simon Au Yeung,3,2.01,76.53,733
ALEKSANDER CHEPAIKIN,3,10.32,76.52,156
League of Geeks,3,13.74,76.52,18197
Tryzna83,3,4.49,76.5,174
IriySoft,3,1.09,76.4,1001
Algorocks,3,3.74,76.39,316
Zatun,3,11.66,76.39,41
Gabriel Lopez,3,5.32,76.36,31
PROJECT YNP,3,20.66,76.34,127
Sangwoon Jin,3,3.99,76.33,315
bumblebee.,3,11.86,76.31,857
Galart,3,0.69,76.3,658
ATOMIC BREATH,3,2.32,76.29,510
Nate Sanders,3,1.99,76.24,606
Weird and Wry,3,6.42,76.24,2597
Black Eye Games,3,3.49,76.23,2926
Burak Dabak,3,6.82,76.22,4960
Boujin 【棒陣】,3,4.72,76.21,35
Alpha Wave Entertainment,3,3.41,76.19,292
Light,3,2.32,76.16,27
Max Loh,3,7.57,76.16,480
Tiny Trinket Games,3,8.08,76.16,1025
Team2Bit,3,2.32,76.15,340
BG Productions,3,1.79,76.13,11605
xproject,3,0.49,76.1,93
Cryptic Studios,3,0.0,76.08,62912
8Floor,3,6.49,76.07,77265
KINGSGUARD GAMES,3,5.33,76.04,44
Scary Bee LLC,3,0.0,76.03,1470
KTX Software,3,1.41,76.02,818
Big Boat Interactive,3,3.14,76.01,1987
Cozy Cabin Studios,3,2.49,75.97,2213
HassaanAsif,3,1.64,75.93,27
Interplay,3,8.16,75.93,166
Carlos Coronado,3,3.79,75.92,1010
Crania Games,3,8.32,75.9,553
NotGames,3,4.16,75.85,12397
Ovid Works,3,9.99,75.84,1039
taecg,3,1.99,75.82,36
Genuine,3,4.46,75.81,75
Invisible Walls,3,3.66,75.8,6228
Piece of Cake studios,3,4.91,75.8,2901
TankCatGames,3,0.66,75.79,21
Red Thread Games,3,4.74,75.78,6855
Papaya Studio,3,6.99,75.77,742
Indomitus Games,3,13.59,75.75,3124
Bartosz Bojarowski,3,5.02,75.73,397
JW,3,1.32,75.72,2898
MercuryStudio,3,9.49,75.72,789
Sprakelsoft GmbH,3,4.99,75.72,12
Robin van der Horst,3,8.34,75.71,70
Anino Games,3,3.02,75.69,65
BadFly Interactive,3,3.21,75.69,7169
BambuseaeGames,3,0.66,75.68,1688
Crazy DEVs,3,0.69,75.68,69
althi Inc.,3,18.59,75.65,121
Vadd Games,3,1.44,75.62,98
Illuminated Games,3,2.81,75.6,198
Wonderland Kazakiri inc.,3,3.99,75.6,179
liica,3,3.44,75.6,454
AM Playhouse,3,3.23,75.58,86
Revolutionary Interactive,3,7.66,75.56,26
Samobee Games,3,2.58,75.53,778
Storybird,3,1.86,75.52,1312
Giant Fox Studios,3,1.86,75.46,549
Leonard Menchiari,3,6.47,75.46,5283
Bamboo Secrets Co.,3,4.0,75.45,16
Ionized Games,3,3.26,75.45,1218
Necrosoft Games,3,10.02,75.45,103
byMixNez,3,0.49,75.44,183
David Nguyen,3,0.66,75.43,115
Tower Up Studios,3,1.09,75.43,356
4Bit Games,3,7.33,75.41,249
BearfoxBear,3,4.62,75.41,153
Respect Studios,3,0.99,75.4,26
好色猫,3,0.64,75.35,149
HYPER GATE,3,5.32,75.33,21
The Planar Danse,3,5.8,75.32,96
闪艺互动,3,7.66,75.3,20
TM xR Lab,3,1.33,75.29,125
Oscar Brittain,3,6.39,75.28,379
Skyward Digital,3,5.61,75.28,400
DarkDes Labs,3,1.99,75.26,270
Squiggly Games,3,0.33,75.24,22
gamigo US Inc.,3,6.66,75.21,104168
storkyproduct,3,0.33,75.2,108
Curve Studios,3,1.34,75.19,1560
Running Pillow,3,13.32,75.15,99
Anti-Ded GameDev,3,4.32,75.11,121
Alterego Games,3,11.66,75.09,276
Holospark,3,10.32,75.07,2388
CleanWaterSoft,3,0.0,75.05,429
3D FACTORY,3,0.0,75.04,81
Daniel Hood,3,4.16,75.04,72
J. King-Spooner,3,1.72,75.04,460
Ash Game Studio,3,10.99,75.03,677
Wild Pepper Games,3,2.99,75.01,144
Aedian Glair,3,7.72,75.0,4
Altered Games,3,3.99,75.0,216
Ampersand Game Studios,3,2.32,75.0,3
Artur Latkovsky,3,1.08,75.0,24
CBO Games,3,3.32,75.0,16
Fox_Sebby,3,8.66,75.0,7
François Sahy,3,5.99,75.0,10
Genie Gaming,3,3.32,75.0,4
Jake Peng,3,2.99,75.0,7
Karlis Zabers,3,0.0,75.0,15
Kotoshiro,3,5.99,75.0,4
Krisalis Software,3,2.91,75.0,5
Leovigildo Leon,3,1.66,75.0,4
Rocpain Games,3,4.66,75.0,4
SRM Games,3,9.99,75.0,10
Shin Tomura,3,0.0,75.0,8
ShiroNoPanda,3,1.66,75.0,20
Snuggle bug,3,6.59,75.0,4
Tails Games,3,0.9,75.0,32
TamTamGames,3,3.66,75.0,5
Zed Zeek,3,11.66,75.0,20
Bad Seed,3,4.99,74.99,682
Phobetor,3,2.99,74.96,79
RexTo Studios,3,0.49,74.96,48
5 Lives Studios,3,9.32,74.95,6865
Farelas,3,2.92,74.92,165
PanicBarn,3,2.99,74.9,2991
Sphere,3,3.49,74.83,71
Gogii,3,6.99,74.78,125
Vifth Floor,3,3.12,74.78,379
Monster Tooth Studios,3,4.66,74.76,1219
Triple Eh? Ltd,3,8.99,74.66,143
Edco Games,3,0.83,74.63,81
Revog Games,3,6.66,74.63,126
OTTO Games,3,4.66,74.62,810
Sweepy Games,3,6.66,74.62,140
Mutiny Software,3,1.99,74.61,873
Bugbyte Ltd.,3,5.72,74.56,10220
TripleBricksGames,3,1.0,74.56,680
Frymore,3,1.66,74.55,252
Haggard Games,3,1.34,74.55,1948
Global Delight Technologies Pvt. Ltd.,3,22.32,74.49,741
Microids Studio Paris,3,10.26,74.48,4654
Reality Inside Ltd.,3,5.06,74.48,151
Ubisoft Blue Byte,3,5.59,74.48,2327
EYEFRONT,3,1.79,74.47,631
Heatwave Studios,3,0.0,74.47,79
Misc Games,3,8.41,74.47,7025
Beijing Litchi Culture Media Co.,3,4.22,74.45,7313
Flightless,3,3.49,74.44,158
New World Computing,3,2.81,74.44,13
nkmr appworks,3,2.01,74.44,14
Indie Marc,3,0.0,74.42,86
HideChara,3,1.58,74.41,4854
重楼工作室,3,8.33,74.39,5985
Adobe,3,124.99,74.38,146
Cleversan Games,3,6.59,74.38,5376
Xigma Games,3,2.29,74.37,676
JingtuStudio,3,0.5,74.34,166
Tacty Studio,3,3.33,74.31,218
World Map Tycoon,3,2.24,74.31,112
VR Factory,3,11.66,74.25,245
Autarca,3,5.76,74.24,376
digitalbathtub,3,1.66,74.24,71
Pippin Games,3,3.06,74.19,605
SK Team,3,1.24,74.17,289
Spacefarer R&D Ltd.,3,1.99,74.17,25
From The Bard,3,4.32,74.09,188
Mizrab,3,2.66,74.09,112
DesktopMMD Team,3,2.31,74.07,1277
attic Entertainment Software GmbH,3,1.49,74.07,303
Phantom Playworks,3,1.32,74.05,32
HawkX Games,3,0.42,74.03,32
Jiwoo Lee,3,0.66,74.02,154
Open Lab Games,3,5.69,74.02,104
武汉幻狮科技有限公司,3,7.32,74.0,161
Directive Games Limited,3,6.66,73.98,550
Carbon Games,3,2.74,73.96,11280
BadTaste Studio,3,1.96,73.95,51
Indie,3,4.0,73.94,44
ENTERi,3,0.6,73.91,1287
Anima Project,3,19.99,73.85,870
Big Red Eight,3,1.67,73.81,205
Raccoons Studio,3,5.97,73.8,2474
Turnopia,3,6.26,73.77,463
Yume Game Studio,3,1.06,73.77,76
Considera Games LLC,3,1.0,73.74,1978
Question,3,12.32,73.74,8053
ILIKESCIFI Games,3,1.66,73.71,235
Massive Galaxy Studios,3,5.99,73.69,672
Apeiron,3,1.34,73.67,1315
Corbie Games,3,10.12,73.66,3280
Koker_007,3,0.79,73.66,133
Uncorporeal Systems,3,0.0,73.66,93
CubeCube Sports Ltd.,3,2.39,73.65,2648
RealityRig,3,2.99,73.64,103
ANG People s.r.o.,3,11.33,73.53,129
IRON GAMES,3,4.33,73.53,22
WindThunder Studio,3,4.33,73.53,1685
Headroom.one,3,6.66,73.51,25
UL,3,4.16,73.5,603
Simple Touch,3,3.99,73.49,155
Spectral Illusions,3,5.9,73.46,475
Gamesandapps,3,1.33,73.43,27
磷光工作室,3,4.86,73.43,60
wk,3,4.33,73.41,38
Big City Lab,3,11.49,73.4,51
Bloody Pixel Games,3,1.74,73.37,1296
Hoffnung Haydn,3,5.42,73.34,11
Kurayami Yume Games,3,3.66,73.34,25
Manja Studio,3,0.59,73.34,14
Matthew Lonsdale,3,5.99,73.34,8
Riv3r,3,2.76,73.34,8
Visage Games Studio,3,1.79,73.33,15
Fly & Wing Studio,3,1.99,73.31,102
FireRing Studio,3,2.59,73.3,49
XenoAisam,3,6.13,73.3,183
Brilliant Game Studios,3,9.66,73.27,19746
HKGamesStudio,3,3.09,73.27,132
White Paper Games,3,11.32,73.25,1155
安格法,3,2.39,73.24,147
Electronic Arts,3,5.32,73.22,14844
Polovey Alexander,3,0.92,73.22,68
Woyboy,3,0.33,73.22,11
Delta Video Games,3,5.33,73.18,75
Misfits Attic,3,8.16,73.16,3424
Tiny Roar,3,1.15,73.16,1103
Bytro Labs GmbH,3,0.0,73.11,9705
PlatinumGames Inc.,3,9.59,73.11,977
Michael Hall,3,0.33,73.06,167
DarkBasicSoftwareLimited,3,56.66,73.05,2542
Mode 7,3,13.32,73.05,3108
IO Interactive,3,3.83,73.04,16745
KAJINOYU,3,1.09,73.01,11
TopCog,3,3.83,73.01,490
Gawkfish Studios,3,6.32,72.99,37
PopTop,3,1.66,72.97,2623
Soyhan Yazgan,3,0.0,72.96,91
Vladimir Kudelka,3,8.49,72.96,254
nobisiko games,3,0.96,72.92,48
Hera Games,3,1.85,72.91,360
Jordan Magnuson,3,0.0,72.91,221
Mighty Games,3,6.66,72.9,1461
Jack Le Hamster,3,2.82,72.78,20
Derrick Does VR,3,0.4,72.73,22
Vona Soft,3,3.16,72.72,1127
WarriorsStudio,3,0.55,72.69,65
Heliocentric Studios,3,5.66,72.68,3507
FireFly Studios,3,10.82,72.67,6196
Stolen Couch Games,3,1.06,72.67,1252
Oriolus Software GmbH,3,19.32,72.64,724
WarDucks,3,6.66,72.6,72
Bumblebee Studios,3,10.41,72.57,298
sur,3,3.99,72.53,180
Yiming,3,3.91,72.5,1007
Caracal Games,3,9.49,72.48,551
Koksny.com,3,8.99,72.46,222
Bugy Games,3,1.22,72.4,169
Tyler Stansfield Jaggers,3,2.28,72.36,50
Lock 'n Load Publishing,3,3.49,72.29,696
4HEAD Studios,3,1.99,72.27,1615
THEEY STORE PTE. LTD.,3,3.99,72.26,165
North of Earth,3,2.49,72.25,847
Dreamverse Entertainment,3,3.99,72.22,12
HecThoor Entertainment,3,4.99,72.22,9
RazDva Games,3,0.52,72.22,13
SPIDERWORKS,3,6.29,72.22,18
